time,latitude,longitude,depth,mag,magType,id,place
2025-03-03T16:33:39.020Z,40.34349823,-125.0751648,0.400000006,3.26,ml,nc75142171,"67 km WNW of Petrolia, CA"
2025-03-03T15:40:36.592Z,12.6746,146.2783,10,5.1,mb,us6000pwn3,"178 km ESE of Yigo Village, Guam"
2025-03-03T15:20:57.586Z,-9.9183,118.5139,35.236,4.7,mb,us6000pwms,"96 km SW of Tambolaka, Indonesia"
2025-03-03T15:18:04.678Z,11.0195,-86.8939,10,4.6,mb,us6000pwmg,"94 km SSW of Masachapa, Nicaragua"
2025-03-03T14:29:49.390Z,40.31700134,-125.3191681,47.59999847,3.63,md,nc75142111,"88 km W of Petrolia, CA"
2025-03-03T13:30:43.229Z,2.4418,128.8768,9.671,4.3,mb,us6000pwlp,"124 km NE of Tobelo, Indonesia"
2025-03-03T13:02:37.850Z,48.61116666666667,-122.8051667,15.81,4.5,ml,uw62078906,"10 km E of Orcas, Washington"
2025-03-03T12:56:56.996Z,2.4414,128.8676,10,4.5,mb,us6000pwlh,"123 km NE of Tobelo, Indonesia"
2025-03-03T12:55:05.130Z,18.7718,-65.3448,43,3.88,md,pr2025062001,"52 km N of Culebra, Puerto Rico"
2025-03-03T12:34:35.805Z,2.3029,128.8805,10,4.4,mb,us6000pwle,"115 km ENE of Tobelo, Indonesia"
2025-03-03T11:01:51.270Z,11.014,-87.0495,10,4.9,mb,us6000pwl7,"103 km SW of Masachapa, Nicaragua"
2025-03-03T10:54:39.823Z,-4.3326,126.7972,10,4.7,mb,us6000pwl5,"169 km WSW of Ambon, Indonesia"
2025-03-03T10:25:28.227Z,-16.6835,-177.3742,403.359,5.1,mb,us6000pwky,"274 km SSE of Alo, Wallis and Futuna"
2025-03-03T10:01:34.110Z,59.8078,-139.035,12.9,3.6,ml,ak0252upa4zk,"48 km NE of Yakutat, Alaska"
2025-03-03T09:30:08.177Z,-16.733,-69.6679,162.277,4.6,mb,us6000pwks,"5 km E of Mazo Cruz, Peru"
2025-03-03T09:04:52.671Z,38.1122,72.5636,119.631,4.2,mb,us6000pwkn,"112 km NE of Khorugh, Tajikistan"
2025-03-03T08:33:43.810Z,19.07733333,-66.61016667,35.89,3.36,md,pr71474298,"67 km N of Arecibo, Puerto Rico"
2025-03-03T06:50:48.682Z,-46.5271,105.3363,10,5,mb,us6000pwka,southeast Indian Ridge
2025-03-03T06:25:31.134Z,27.318,61.1008,10,5.2,mb,us6000pwk7,"43 km ENE of Iranshahr, Iran"
2025-03-03T06:13:45.170Z,34.1633339,-118.356163,15.25,3.92,mlr,ci41070112,"2 km ESE of North Hollywood, CA"
2025-03-03T05:57:28.275Z,-23.5068,-175.5377,27.205,4.8,mb,us6000pwk3,"247 km SSW of ‘Ohonua, Tonga"
2025-03-03T05:05:28.664Z,17.7644,-82.3071,10,4.3,mb,us6000pwju,"195 km SSW of George Town, Cayman Islands"
2025-03-03T04:47:59.315Z,-25.0089,-179.6694,478.212,4.6,mb,us6000pwjs,south of the Fiji Islands
2025-03-03T04:40:33.853Z,-22.9247,-67.1006,228.013,4.7,mb,us6000pwjp,"112 km E of San Pedro de Atacama, Chile"
2025-03-03T04:37:39.708Z,14.0119,40.0375,8.272,4.5,mb,us6000pwjr,"68 km ESE of Ādīgrat, Ethiopia"
2025-03-03T03:50:58.146Z,36.3266,139.3648,143.384,4.5,mb,us6000pwjl,"2 km N of Ōta, Japan"
2025-03-03T03:33:02.909Z,16.322,95.6218,10,4.5,mb,us6000pwjj,"7 km WNW of Pyapon, Myanmar"
2025-03-03T00:02:06.340Z,-9.5611,117.5368,57.924,3.9,mb,us6000pwit,"117 km SE of Taliwang, Indonesia"
2025-03-03T00:01:29.659Z,14.9488,-60.6167,63.642,4.8,mb,us6000pwis,"43 km ENE of La Trinité, Martinique"
2025-03-02T22:47:05.278Z,52.7803,-35.0181,10,4.6,mb,us6000pwif,Reykjanes Ridge
2025-03-02T22:32:18.943Z,31.718,-104.273,6.9202,4.2,ml,tx2025ehit,"51 km S of Whites City, New Mexico"
2025-03-02T22:23:18.309Z,-20.7186,-69.5955,91.346,4.6,mb,us6000pwi1,"42 km S of La Tirana, Chile"
2025-03-02T21:11:47.382Z,16.2599,119.1612,10,4.6,mb,us6000pwhs,"66 km W of Macabuboni, Philippines"
2025-03-02T20:38:47.645Z,14.1521,39.7806,10,4.1,mb,us6000pwhp,"37 km ESE of Ādīgrat, Ethiopia"
2025-03-02T20:24:29.928Z,-3.5002,129.4854,21.007,4.6,mb,us6000pwhl,"61 km ESE of Masohi, Indonesia"
2025-03-02T18:54:25.840Z,19.464,-67.8685,18,3.89,md,pr2025061007,"112 km NNE of Punta Cana, Dominican Republic"
2025-03-02T18:42:10.897Z,-3.5097,129.4878,43.033,5.3,mww,us6000pwh1,"62 km ESE of Masohi, Indonesia"
2025-03-02T18:07:02.140Z,38.2263,73.054,133.751,4.2,mb,us6000pwh0,"80 km W of Murghob, Tajikistan"
2025-03-02T18:02:50.750Z,19.4555,-65.3328,77,3.59,md,pr2025061006,"125 km NNE of Vieques, Puerto Rico"
2025-03-02T17:17:33.320Z,51.319,-170.075,10,4.6,mb,us6000pwgw,"198 km SSW of Nikolski, Alaska"
2025-03-02T17:15:10.759Z,51.3402,-170.0814,10,4,mb,us6000pwgv,"196 km SSW of Nikolski, Alaska"
2025-03-02T16:55:50.203Z,40.5998,-127.3799,10,3.2,ml,us6000pwgu,"263 km W of Ferndale, California"
2025-03-02T16:19:32.250Z,40.30416667,-124.6505,-0.11,3.21,ml,nc75141696,"31 km W of Petrolia, CA"
2025-03-02T16:10:35.890Z,19.5996,-68.0418,11,3.84,md,pr2025061005,"118 km NNE of Punta Cana, Dominican Republic"
2025-03-02T16:07:44.756Z,0.423,124.8888,10,4.6,mb,us6000pwgj,"50 km E of Modisi, Indonesia"
2025-03-02T15:11:20.706Z,14.0665,39.8348,10,4.3,mb,us6000pwge,"46 km ESE of Ādīgrat, Ethiopia"
2025-03-02T15:04:52.470Z,19.3971,-67.8545,49,3.76,md,pr2025061004,"107 km NNE of Punta Cana, Dominican Republic"
2025-03-02T14:16:59.389Z,-10.2597,66.186,10,5.3,mb,us6000pwg6,Mid-Indian Ridge
2025-03-02T14:11:51.281Z,-18.1962,-178.1268,551.91,4.4,mb,us6000pwg3,"270 km E of Levuka, Fiji"
2025-03-02T13:06:54.810Z,19.3631,-67.9161,6,4.09,md,pr2025061003,"100 km NNE of Punta Cana, Dominican Republic"
2025-03-02T12:47:50.790Z,40.54566667,-124.1926667,13.44,3.07,ml,nc75141606,"7 km SW of Fortuna, CA"
2025-03-02T12:40:35.000Z,19.174,-68.837,5.7,4.6,Ml,pt25061001,"30 km NE of Miches, Dominican Republic"
2025-03-02T12:40:21.670Z,19.4435,-67.869,7,4.52,md,pr2025061002,"110 km NNE of Punta Cana, Dominican Republic"
2025-03-02T12:26:36.584Z,0.6089,126.8159,25.11,4.9,mb,us6000pwft,"66 km WSW of Ternate, Indonesia"
2025-03-02T11:14:28.544Z,-30.2333,-179.0151,209.706,4.4,mb,us6000pwfl,Kermadec Islands region
2025-03-02T09:32:10.061Z,2.4804,128.4237,226.446,4.5,mb,us6000pwf7,"95 km NNE of Tobelo, Indonesia"
2025-03-02T08:59:34.670Z,19.01,-64.9725,23,3.54,md,pr2025061001,"74 km N of Charlotte Amalie, U.S. Virgin Islands"
2025-03-02T08:32:49.690Z,-6.1013,148.929,73.939,4.4,mb,us6000pwez,"69 km W of Kandrian, Papua New Guinea"
2025-03-02T08:14:58.309Z,14.2209,39.8918,10,5.2,mww,us6000pwew,"46 km E of Ādīgrat, Ethiopia"
2025-03-02T08:11:41.494Z,0.2487,121.9116,185.7,4.4,mb,us6000pwev,"132 km WSW of Gorontalo, Indonesia"
2025-03-02T07:42:11.794Z,58.921,-152.1597,44.6,3.3,ml,ak0252t078bk,"50 km SSW of Nanwalek, Alaska"
2025-03-02T06:23:30.397Z,28.3064,104.901,10,4.6,mb,us6000pwej,"14 km W of Bowangshan, China"
2025-03-02T05:59:05.780Z,-22.3958,-68.6539,113.191,4.2,mb,us6000pweg,"28 km ENE of Calama, Chile"
2025-03-02T05:34:06.840Z,20.47966667,-156.0621667,29.95,3.63,ml,hv74626257,"31 km SSW of Hana, Hawaii"
2025-03-02T05:19:25.640Z,19.36033333,-155.0858333,7.47,3.02,ml,hv74626252,"12 km SSE of Fern Forest, Hawaii"
2025-03-02T05:00:41.230Z,-8.3255,110.2205,10.437,4.3,mb,us6000pwe8,"42 km S of Bambanglipuro, Indonesia"
2025-03-02T03:45:43.338Z,15.9885,-95.0131,52.738,5,mb,us6000pwe1,"24 km S of Colonia Juárez, Mexico"
2025-03-02T02:28:06.439Z,-33.9652,179.4079,224.246,4.4,mb,us6000pwdp,south of the Kermadec Islands
2025-03-02T01:04:09.000Z,18.9555,-65.16666667,19.88,3.23,md,pr71474098,"72 km NNW of Charlotte Amalie, U.S. Virgin Islands"
2025-03-02T00:56:43.322Z,-18.0389,-177.8675,580.061,4.3,mb,us6000pwcw,"298 km E of Levuka, Fiji"
2025-03-02T00:36:19.730Z,18.904,-65.1541,44,3.98,md,pr2025061000,"66 km NNW of Charlotte Amalie, U.S. Virgin Islands"
2025-03-01T23:52:24.509Z,-22.1061,-179.4616,596.851,5,mb,us6000pwck,south of the Fiji Islands
2025-03-01T23:42:30.054Z,-29.4814,-177.2976,48.213,5.2,mb,us6000pwce,"Kermadec Islands, New Zealand"
2025-03-01T22:45:19.230Z,40.35333333,-124.728,19.87,3.45,ml,nc75141231,"38 km WNW of Petrolia, CA"
2025-03-01T22:39:57.531Z,-59.3952,149.313,10,4.7,mb,us6000pwc9,west of Macquarie Island
2025-03-01T20:02:13.252Z,13.4726,145.5821,63.65,5.3,mww,us6000pwbj,"75 km E of Yigo Village, Guam"
2025-03-01T17:14:35.150Z,16.8447,146.1594,96.79,4.9,mb,us6000pwaz,"185 km NNE of Saipan, Northern Mariana Islands"
2025-03-01T16:25:38.837Z,-5.4791,133.5716,10,4.5,mb,us6000pwaw,"92 km E of Tual, Indonesia"
2025-03-01T16:13:46.394Z,51.2825,-174.8786,40.557,4.3,mwr,us6000pwav,"111 km SSW of Atka, Alaska"
2025-03-01T15:11:55.077Z,28.3814,55.2008,10,4.2,mb,us6000pwal,"69 km W of Ḩājjīābād, Iran"
2025-03-01T13:59:53.979Z,7.8935,126.6352,34.14,5,mb,us6000pwae,"22 km NE of Taytayan, Philippines"
2025-03-01T13:17:35.757Z,-21.0123,-178.5754,527.973,4.4,mb,us6000pwa9,Fiji region
2025-03-01T13:17:05.805Z,38.7729,140.552,10,4.5,mb,us6000pwaa,"21 km E of Shinjō, Japan"
2025-03-01T12:58:05.750Z,19.6466,-65.3375,25,4.27,md,pr2025060003,"144 km NNE of Vieques, Puerto Rico"
2025-03-01T12:18:05.700Z,19.6238,-67.9941,37,3.55,md,pr2025060002,"123 km NNE of Punta Cana, Dominican Republic"
2025-03-01T11:57:21.569Z,68.1289,-148.4654,9.4,3.5,ml,ak0252rf4uvr,"106 km NE of Wiseman, Alaska"
2025-03-01T11:31:33.280Z,-19.3914,146.7288,9.584,4.1,mb,us6000pw9t,"1 km ESE of Kelso, Australia"
2025-03-01T11:09:18.890Z,36.0418,-111.1811,9.143,3.4,ml,us6000pw9n,"8 km SSE of Moenkopi, Arizona"
2025-03-01T11:02:02.271Z,-32.2868,150.6632,10,3.3,ml,us6000pw9p,"11 km NNW of Denman, Australia"
2025-03-01T10:52:31.042Z,-33.6866,-178.4842,10,4.9,mb,us6000pw9m,south of the Kermadec Islands
2025-03-01T10:22:56.933Z,1.7982,124.0486,295.614,4.3,mb,us6000pw9i,"95 km WNW of Manado, Indonesia"
2025-03-01T09:38:50.070Z,2.8316,-79.4574,10,5,mww,us6000pw9c,"117 km WNW of Mosquera, Colombia"
2025-03-01T09:22:16.014Z,-33.1931,-71.2509,59.771,4.2,mb,us6000pw96,"19 km S of Limache, Chile"
2025-03-01T09:14:23.535Z,-17.2086,-56.6688,10,4.1,mb,us6000pw95,"105 km S of Poconé, Brazil"
2025-03-01T08:57:00.748Z,20.3696,95.0693,118.785,4.2,mb,us6000pw91,"23 km ESE of Yenangyaung, Myanmar"
2025-03-01T08:39:25.340Z,19.5863,-65.3183,40,3.97,md,pr2025060001,"139 km NNE of Vieques, Puerto Rico"
2025-03-01T07:15:54.711Z,-21.8402,-68.4751,121.943,4.4,mb,us6000pw8e,"71 km SSW of Ollagüe, Chile"
2025-03-01T06:47:44.625Z,8.8373,122.5245,10,4.6,mb,us6000pw8f,"53 km WSW of Cabangahan, Philippines"
2025-03-01T04:01:10.883Z,13.7743,-91.704,52.434,4.4,mb,us6000pw7t,"61 km SSE of Champerico, Guatemala"
2025-03-01T02:48:27.590Z,19.3643,-64.8031,11,3.63,md,pr2025060000,"113 km N of Charlotte Amalie, U.S. Virgin Islands"
2025-03-01T02:28:32.107Z,13.5652,-91.7543,10,4.3,mb,us6000pw7c,"82 km SSE of Champerico, Guatemala"
2025-03-01T00:39:54.486Z,80.7188,-107.4713,10,4.7,mb,us6000pw77,Arctic Ocean
2025-02-28T21:58:38.469Z,-6.0063,130.7006,126,5.5,mww,us6000pw69,"231 km W of Tual, Indonesia"
2025-02-28T21:27:06.820Z,19.5386,-65.2386,92,3.99,md,pr2025059003,"136 km NNW of Charlotte Amalie, U.S. Virgin Islands"
2025-02-28T21:12:08.034Z,13.3931,-91.99,10,4.2,mb,us6000pw5z,"99 km S of Champerico, Guatemala"
2025-02-28T21:00:29.244Z,10.8527,125.5031,9.519,4.6,mb,us6000pw5y,"30 km S of Giporlos, Philippines"
2025-02-28T19:48:01.549Z,52.3483,-170.474,48.4,3.9,mb,us6000pw6g,"127 km WSW of Nikolski, Alaska"
2025-02-28T19:39:28.308Z,18.3544,-99.3347,61.108,5,mww,us6000pw5b,"5 km N of Ciudad de Huitzuco, Mexico"
2025-02-28T19:33:24.297Z,32.37,-101.926,6.8115,4.8,ml,tx2025edml,"26 km SW of Ackerly, Texas"
2025-02-28T19:31:52.527Z,30.7704,-105.6599,10.515,3,ml,us6000pw4w,"53 km SSW of Sierra Blanca, Texas"
2025-02-28T18:37:09.111Z,-34.6999,53.9297,10,4.7,mb,us6000pw4q,Southwest Indian Ridge
2025-02-28T16:18:51.940Z,2.8228,125.7824,142.036,4.3,mb,us6000pw4c,"169 km NNE of Bitung, Indonesia"
2025-02-28T16:11:33.379Z,73.1466,132.7153,10,5.2,mww,us6000pw3w,"207 km NE of Tiksi, Russia"
2025-02-28T14:02:10.250Z,19.4228,-68.0168,89,3.88,md,pr2025059002,"101 km NNE of Punta Cana, Dominican Republic"
2025-02-28T13:12:50.141Z,-23.1827,-179.7639,545.328,4.5,mb,us6000pw1l,south of the Fiji Islands
2025-02-28T12:20:37.040Z,19.04633333,-155.3785,33.71,3.21,ml,hv74625147,"20 km SSE of Pāhala, Hawaii"
2025-02-28T11:35:45.430Z,18.89,-68.47483333,42.36,3.38,md,pr71473938,"33 km NE of Otra Banda, Dominican Republic"
2025-02-28T10:54:20.799Z,-1.3143,133.1228,52.126,4.4,mb,us6000pw34,"95 km SE of Fef, Indonesia"
2025-02-28T10:50:48.951Z,11.1275,-86.8821,35,4.4,mb,us6000pw1b,"83 km SSW of Masachapa, Nicaragua"
2025-02-28T10:36:06.831Z,50.004,155.6501,88.877,4.3,mb,us6000pw1a,"82 km SSW of Severo-Kuril’sk, Russia"
2025-02-28T10:05:45.725Z,27.2992,92.6426,44.359,4.2,mb,us6000pw15,"21 km E of Bomdila, India"
